FAO Countries;Countries from Income_groups
Zimbabwe;Zimbabwe
Zambia;Zambia
Western Asia;Western Asia
Western Africa;Western Africa
Viet Nam;Vietnam
Venezuela (Bolivarian Republic of);Venezuela
Uzbekistan;Uzbekistan
Uruguay;Uruguay
United States of America;United States
United Republic of Tanzania;Tanzania
United Kingdom of Great Britain and Northern Ireland;United Kingdom of Great Britain and Northern Ireland
United Kingdom;United Kingdom
Ukraine;Ukraine
Uganda;Uganda
Turkey;Turkey
Tunisia;Tunisia
Trinidad and Tobago;Trinidad and Tobago
Togo;Togo
Timor-Leste;Timor-Leste
The former Yugoslav Republic of Macedonia;North Macedonia
Thailand;Thailand
Tajikistan;Tajikistan
Syrian Arab Republic;Syrian Arab Republic
Switzerland;Switzerland
Sweden;Sweden
Sudan;Sudan
Sub-Saharan Africa;Sub-Saharan Africa
Sri Lanka;Sri Lanka
Spain;Spain
Southern Asia;Southern Asia
South-Eastern Asia;South-Eastern Asia
South Sudan;South Sudan
South Africa;South Africa
Somalia;Somalia
Slovakia;Slovak Republic
Sierra Leone;Sierra Leone
Serbia;Serbia
Senegal;Senegal
Saudi Arabia;Saudi Arabia
Saint Lucia;St. Lucia
Saint Kitts and Nevis;St. Kitts and Nevis
Rwanda;Rwanda
Russian Federation;Russian Federation
Romania;Romania
Republic of Moldova;Moldova
Republic of Korea;Korea, Rep.
Portugal;Portugal
Poland;Poland
Philippines;Philippines
Peru;Peru
Paraguay;Paraguay
Panama;Panama
Pakistan;Pakistan
Oman;Oman
Norway;Norway
Northern America;Northern America
Northern Africa;Northern Africa
Nigeria;Nigeria
Niger;Niger
Nicaragua;Nicaragua
New Zealand;New Zealand
New Caledonia;New Caledonia
Netherlands;Netherlands
Nepal;Nepal
Namibia;Namibia
Myanmar;Myanmar
Mozambique;Mozambique
Morocco;Morocco
Mongolia;Mongolia
Mexico;Mexico
Mauritius;Mauritius
Mauritania;Mauritania
Mali;Mali
Malaysia;Malaysia
Malawi;Malawi
Madagascar;Madagascar
Luxembourg;Luxembourg
Lithuania;Lithuania
Libya;Libya
Liberia;Liberia
Lesotho;Lesotho
Latvia;Latvia
Latin America and the Caribbean;Latin America and the Caribbean
Lao People's Democratic Republic;Laos
Kyrgyzstan;Kyrgyzstan
Kenya;Kenya
Kazakhstan;Kazakhstan
Jordan;Jordan
Japan;Japan
Jamaica;Jamaica
Italy;Italy
Israel;Israel
Ireland;Ireland
Iran (Islamic Republic of);Iran
Indonesia;Indonesia
India;India
Hungary;Hungary
Honduras;Honduras
Haiti;Haiti
Guyana;Guyana
Guinea-Bissau;Guinea-Bissau
Guinea;Papua New Guinea
Guatemala;Guatemala
Ghana;Ghana
Germany;Germany
Georgia;Georgia
Gambia;Gambia, The
Gabon;Gabon
France;France
Finland;Finland
Fiji;Fiji
Europe;Europe
Ethiopia;Ethiopia
Eswatini;Eswatini
Estonia;Estonia
Eritrea;Eritrea
El Salvador;El Salvador
Egypt;Egypt
Ecuador;Ecuador
Dominican Republic;Dominican Republic
Denmark;Denmark
Democratic Republic of the Congo;Congo, Dem. Rep.
Democratic People's Republic of Korea;Korea, North
Czechia;Czech Republic
Cyprus;Cyprus
Cuba;Cuba
Costa Rica;Costa Rica
Colombia;Colombia
China,Taiwan;Taiwan
China;China
Chile;Chile
Chad;Chad
Central Asia;Central Asia
Canada;Canada
Cameroon;Cameroon
Cambodia;Cambodia
CÃ´te d'Ivoire;Côte d'Ivoire
Burundi;Burundi
Burkina Faso;Burkina Faso
Brazil;Brazil
Botswana;Botswana
Bolivia (Plurinational State of);Bolivia
Benin;Benin
Belize;Belize
Belgium;Belgium
Belarus;Belarus
Bangladesh;Bangladesh
Bahrain;Bahrain
Azerbaijan;Azerbaijan
Austria;Austria
Australia and New Zealand;Australia and New Zealand
Australia;Australia
Armenia;Armenia
Argentina;Argentina
Angola;Angola
Algeria;Algeria
Africa;Africa
Afghanistan;Afghanistan
